Id,Event,Venue,DateTime
371b549e-ff50-469d-a899-2397d30db93d,5 Seconds of Summer,Xfinity Center - MA,8/28/2015 7:30:00 PM 
35778e7f-489c-407c-a1de-d2760cc744e8,Anderson Cooper,Wang Theatre,3/21/2015 8:00:00 PM 
cb9855d3-62f6-4b45-a0f9-76452c97f5c3,Ariana Grande,DCU Center (End Stage),3/15/2015 7:30:00 PM 
393f888e-ab00-49be-ab6d-a9036052358c,Barry Manilow,TD Garden (End Stage),6/16/2015 7:30:00 PM 
f824e69d-80ab-448a-afa5-6770968d1858,Bette Midler,TD Garden (End Stage),6/12/2015 8:00:00 PM 
b8d7df06-0b48-4840-908d-707028eeba1b,Bill Burr ,Wilbur Theatre (End Stage with Reserved Tables),5/14/2015 9:45:00 PM 
eeebcf92-eabe-4f51-9ce4-4d0ae6e8646e,Bill Burr (10pm),Wilbur Theatre (End Stage),5/15/2015 10:00:00 PM 
cf40e007-aecd-4c6f-a41a-0388f04f8377,Bill Burr (7:15PM),Wilbur Theatre (End Stage),5/13/2015 7:15:00 PM 
0d42a28e-84d6-4eab-993d-159ccdff66f2,Bill Burr (7:15PM),Wilbur Theatre (End Stage),5/14/2015 7:15:00 PM 
374ef8ec-214e-4c7b-8fad-227569bd3c82,Bill Burr (9:45 pm),Wilbur Theatre (End Stage),5/9/2015 9:45:00 PM 
0a104018-19be-43d9-8431-9fe85a4b69ee,Above and Beyond,House of Blues Boston,2/19/2015 7:00:00 PM 
bc28ab43-d81c-424a-bf5a-fe5ca7de8e06,Bill Burr (7:15PM),Wilbur Theatre (End Stage),5/11/2015 7:15:00 PM 
1729d00e-15cd-44fe-b870-82678353e3d8,Bill Burr (7:15PM),Wilbur Theatre (End Stage),5/12/2015 7:15:00 PM 
105953e0-b38c-4768-9326-e00db52a49e8,Billy Joel,Fenway Park (Concert),7/16/2015 6:30:00 PM 
329ab8e0-86f6-4b8c-8545-acdf21b29912,Blackberry Smoke,House of Blues Boston,3/27/2015 8:00:00 PM 
ba93b5ed-b852-479d-87a3-882d8c68e97d,Blue Man Group,Charles Playhouse,2/6/2015 7:30:00 PM 
85a91929-9f21-42a4-8e71-f602688cd800,Blue Man Group,Charles Playhouse,2/7/2015 5:00:00 PM 
9c779aa3-d947-4655-beef-fb63b2b30c44,Blue Man Group,Charles Playhouse,2/7/2015 8:00:00 PM 
a7183039-6423-4411-a3ff-db2f8bf81527,Blue Man Group,Charles Playhouse,2/8/2015 2:00:00 PM 
6cf947af-a7ef-411c-b15c-dc0e108df73d,Blue Man Group,Charles Playhouse,2/8/2015 5:00:00 PM 
acf29c7b-0861-4e1a-866c-552cde1fd9d5,Blue Man Group,Charles Playhouse,2/14/2015 11:00:00 AM 
55865131-cce6-4932-b6af-43608591a4d3,Blue Man Group,Charles Playhouse,2/15/2015 2:00:00 PM 
efa995f9-23f5-4673-b5a2-c32590dc6125,Blue Man Group,Charles Playhouse,2/20/2015 1:30:00 PM 
f1cb34ae-1009-43bf-8bda-7ff88e6d87c8,Blue Man Group,Charles Playhouse,2/20/2015 7:30:00 PM 
2d7efd9b-cd05-4d98-be6f-7c7c96f72a2f,Blue Man Group,Charles Playhouse,2/21/2015 2:00:00 PM 
92a17281-681f-47e9-85ed-7b7ea7cab447,Blue Man Group,Charles Playhouse,2/22/2015 5:00:00 PM 
0b86e50d-43fe-440e-852f-620d7ba82b86,Blue Man Group,Charles Playhouse,2/27/2015 7:30:00 PM 
5d617852-6563-49e8-bf03-e996fdab5721,Blue Man Group,Charles Playhouse,2/28/2015 2:00:00 PM 
cc2e1ed9-4a30-4a94-a1f9-a2c2567292e7,Blue Man Group,Charles Playhouse,2/28/2015 5:00:00 PM 
6d43bc43-6198-42d2-871a-3d6cd8ba5647,Blue Man Group,Charles Playhouse,2/28/2015 8:00:00 PM 
204d1deb-79d8-40d7-aed6-8b59426dc772,Blue Man Group,Charles Playhouse,2/16/2015 4:30:00 PM 
79fe6607-876a-48b5-a545-6867fea6bdae,Blue Man Group,Charles Playhouse,2/18/2015 1:30:00 PM 
1646d014-f334-4fc0-981a-e764c32579cd,Blue Man Group,Charles Playhouse,2/18/2015 4:30:00 PM 
1bcafbc3-664a-4b85-ae8c-3542245219f2,Blue Man Group,Charles Playhouse,2/19/2015 1:30:00 PM 
a1b206e0-fc62-4794-a450-aaa3592386e2,Blue Man Group,Charles Playhouse,2/21/2015 11:00:00 AM 
5771d1be-f7d2-4763-a0d4-25969f22314d,Blue Man Group,Charles Playhouse,2/22/2015 2:00:00 PM 
bf34d27a-0567-4ee9-9a35-55eca39c6288,Blue Man Group,Charles Playhouse,2/26/2015 7:30:00 PM 
a122b3ee-ed83-4679-82c3-c517cff84335,Blue Man Group,Charles Playhouse,3/8/2015 2:00:00 PM 
9c6e54eb-abc1-45db-9f9d-3f2ab04cef8c,Blue Man Group,Charles Playhouse,3/12/2015 7:30:00 PM 
813eb78e-9d1a-4f4c-af23-fb8768c1b301,Blue Man Group,Charles Playhouse,3/13/2015 7:30:00 PM 
